hash;signature;tags
000edd06cbd5c2a07384d239fbb8fcb51df5a7d7a5fbe81629057e73ba33bc5a;RedLineStealer;exe,RedLineStealer
000efde73aaf8a6a43f7990b3a101ae9cca56c0cfe97ba9172668fc40395bd98;;exe
000f57e2635ab764b9a5b5d7d6cfea5b0f625a181b78d90b7c1012fd9da3ac7d;RemcosRAT;exe,RemcosRAT
000f72da09396d3bf401f056b888a2c5d2b9e485bde07cceffb272c78ca973e1;AgentTesla;AgentTesla,exe,Invoice
000fa4efe118d8d6ea069c8692b8c848500d84ef02e696594b781c79997243d5;GandCrab;exe,GandCrab
000fcaa8326c9497382d6a6b36c4df108c7e490b9a816d5e55d11538d9d8d6f2;Tofsee;exe,Tofsee
00105d642a9c77033b82cc8117e1921bcfee4e13bee4619fb854d263b0690aa1;AgentTesla;AgentTesla,exe
001081ab8f9de38094e870a7c769325983b2d4852020464585510507a97c8cc6;RedLineStealer;exe,RedLineStealer
0010b7ec1d9f4bea9f2ca750de9467dc81b75cbb2b4c82f4843e863615409f1e;CoinMiner;CoinMiner,exe
00110c2e6a0a9041234d4f24b1f3b238b8d859871d6124fd3f6d88e3d2d7844e;AveMariaRAT;32,AveMariaRAT,exe
001153b7500bc0d49075d06a77958864f64aab5df98241577db6234f2ba8fe4d;IcedID;exe,IcedID
00115cc3601a15a91c91fa2620ed1d5bfc83a0561f081b1f5d45365b8594a217;SnakeKeylogger;exe,SnakeKeylogger
001195c135ab0024f48b6df2f01aa9c0c533d95fd59357bed98f3bfc0b64ebd8;DanaBot;DanaBot,exe
0011b1236acf0a114e7e25f58a70476e5f5b319930439d84422b3e9b05eb1cf7;Loki;exe,Loki
0011d97090a713f1eb4e4c4b565470dfb58bed32ee20cf3d38df3a76580dd6f5;RedLineStealer;exe,RedLineStealer
0012202cd5c98e70e2b546c3f1407f14b65382c9b3669ca2a1c71d9d63687a3c;Smoke Loader;exe,Smoke Loader
00126f1a772fd459793f811457950e42177537f6387a76124d26b57266a79f1c;DCRat;DCRat,exe
001279e7bbffee58af244a3a87c40f0aaa1b99d235390dabcba4a8b52ccfda7d;GCleaner;exe,GCleaner
0012e5b3d33f937c7bed70dc8718d1f38b3f2e9271649faad0fbc22024a5d808;AgentTesla;AgentTesla,exe
0012fc50c941f2d86f8420ea7737ca6f53a41dcffb8d04284e8cf508bddad472;;exe
001306d8cb862a0b5b2fe44ad68652d8c14bc016ce68a710c706510e1e98475a;AgentTesla;AgentTesla,exe,SWIFT
00130a7cbb5c32a73a1a07b6720034a2089dabf2c1085eb4a0c19d247bb25ddb;AveMariaRAT;AveMariaRAT,exe
0013853950647289e952326b93ce46aa3e73db654367ef3c005e29257db31fba;Formbook;exe,Formbook
001398cbdd296809a52be3cbd8e7bbd306addb30f70ec9811d47ddfbda81d9ad;RedLineStealer;exe,RedLineStealer
00139ffbc60ffd8c46045238f984371a7cd5dd8a9c0f39af10eb0512bb82a40a;Formbook;exe,Formbook
